"age";"Dx";"Px";"qx";"lx";"dx";"Lx";"Tx";"ex";"total"
0;174;58500;0.003119;100000;312;99735;7469443;74.69;74.69
1;15;61514;0.000244;99688;24;99676;7369708;73.93;74.93
2;13;62386;0.000208;99664;21;99653;7270032;72.95;74.95
3;11;61618;0.000179;99643;18;99634;7170379;71.96;74.96
4;11;58196;0.00015;99625;15;99618;7070744;70.97;74.97
5;6;54359;0.000109;99610;11;99605;6971127;69.98;74.98
6;2;51677;8e-05;99599;8;99595;6871522;68.99;74.99
7;4;49476;7.3e-05;99591;7;99588;6771926;68;75
8;5;48244;9.8e-05;99584;10;99579;6672338;67;75
9;6;47502;0.000107;99574;11;99569;6572759;66.01;75.01
10;5;47047;0.000107;99564;11;99558;6473190;65.02;75.02
11;3;46398;9.5e-05;99553;9;99548;6373632;64.02;75.02
12;6;46115;9.7e-05;99544;10;99539;6274083;63.03;75.03
13;4;46444;0.000105;99534;10;99529;6174545;62.03;75.03
14;7;46649;0.000117;99523;12;99518;6075016;61.04;75.04
15;7;48166;0.000163;99512;16;99504;5975498;60.05;75.05
16;13;52418;0.000311;99496;31;99480;5875995;59.06;75.06
17;29;58772;0.000475;99465;47;99441;5776514;58.08;75.08
18;46;62886;0.000662;99417;66;99385;5677073;57.1;75.1
19;49;65122;0.000816;99352;81;99311;5577689;56.14;75.14
20;59;67302;0.000839;99271;83;99229;5478378;55.19;75.19
21;60;67430;0.000831;99187;82;99146;5379149;54.23;75.23
22;49;68803;0.000848;99105;84;99063;5280003;53.28;75.28
23;60;70269;0.000777;99021;77;98982;5180940;52.32;75.32
24;59;71188;0.000748;98944;74;98907;5081958;51.36;75.36
25;45;72757;0.000802;98870;79;98830;4983051;50.4;75.4
26;62;73981;0.000761;98791;75;98753;4884220;49.44;75.44
27;67;74435;0.000766;98715;76;98678;4785467;48.48;75.48
28;50;75392;0.000841;98640;83;98598;4686790;47.51;75.51
29;67;76508;0.00087;98557;86;98514;4588192;46.55;75.55
30;81;79462;0.000928;98471;91;98425;4489678;45.59;75.59
31;84;85972;0.000991;98380;97;98331;4391252;44.64;75.64
32;87;91395;0.00094;98282;92;98236;4292921;43.68;75.68
33;84;93409;0.000918;98190;90;98145;4194685;42.72;75.72
34;88;95384;0.000974;98100;96;98052;4096541;41.76;75.76
35;109;97232;0.001098;98004;108;97950;3998489;40.8;75.8
36;124;98655;0.001237;97896;121;97836;3900539;39.84;75.84
37;134;96375;0.00136;97775;133;97709;3802703;38.89;75.89
38;125;89024;0.001414;97642;138;97573;3704994;37.94;75.94
39;125;81933;0.001489;97504;145;97432;3607421;37;76
40;125;77917;0.00174;97359;169;97274;3509989;36.05;76.05
41;148;75022;0.002007;97190;195;97092;3412715;35.11;76.11
42;180;71869;0.002234;96995;217;96886;3315623;34.18;76.18
43;161;69988;0.002383;96778;231;96663;3218737;33.26;76.26
44;174;70365;0.002541;96547;245;96425;3122074;32.34;76.34
